city,date,player_of_match,team1,team2,toss_winner,toss_decision,winner,result,result_margin
Visakhapatnam,10-05-2019,F du Plessis,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,Chennai Super Kings,wickets,6
Hyderabad,12-05-2019,JJ Bumrah,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,runs,1
Abu Dhabi,19-09-2020,AT Rayudu,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,5
Dubai,20-09-2020,MP Stoinis,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,Delhi Capitals,tie,NA
Dubai,21-09-2020,YS Chahal,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,runs,10
Sharjah,22-09-2020,SV Samson,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Rajasthan Royals,runs,16
Abu Dhabi,23-09-2020,RG Sharma,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,runs,49
Dubai,24-09-2020,KL Rahul,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab,runs,97
Dubai,25-09-2020,PP Shaw,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Delhi Capitals,runs,44
Abu Dhabi,26-09-2020,Shubman Gill,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,wickets,7
Sharjah,27-09-2020,SV Samson,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,4
Dubai,28-09-2020,AB de Villiers,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,tie,NA
Abu Dhabi,29-09-2020,Rashid Khan,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,runs,15
Dubai,30-09-2020,Shivam Mavi,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,runs,37
Abu Dhabi,01-10-2020,KA Pollard,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,runs,48
Dubai,02-10-2020,PK Garg,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,7
Abu Dhabi,03-10-2020,YS Chahal,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,wickets,8
Sharjah,03-10-2020,SS Iyer,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,runs,18
Dubai,04-10-2020,SR Watson,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Chennai Super Kings,wickets,10
Sharjah,04-10-2020,TA Boult,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,runs,34
Dubai,05-10-2020,AR Patel,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Capitals,runs,59
Abu Dhabi,06-10-2020,SA Yadav,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,runs,57
Abu Dhabi,07-10-2020,RA Tripathi,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,10
Dubai,08-10-2020,JM Bairstow,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,69
Sharjah,09-10-2020,R Ashwin,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,runs,46
Abu Dhabi,10-10-2020,KD Karthik,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,2
Dubai,10-10-2020,V Kohli,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,37
Abu Dhabi,11-10-2020,Q de Kock,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,wickets,5
Dubai,11-10-2020,R Tewatia,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,wickets,5
Sharjah,12-10-2020,AB de Villiers,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,82
Dubai,13-10-2020,RA Jadeja,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,runs,20
Dubai,14-10-2020,A Nortje,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Delhi Capitals,runs,13
Sharjah,15-10-2020,KL Rahul,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,wickets,8
Abu Dhabi,16-10-2020,Q de Kock,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,wickets,8
Dubai,17-10-2020,AB de Villiers,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,wickets,7
Sharjah,17-10-2020,S Dhawan,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,wickets,5
Abu Dhabi,18-10-2020,LH Ferguson,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,tie,NA
Dubai,18-10-2020,KL Rahul,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,tie,NA
Abu Dhabi,19-10-2020,JC Buttler,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,wickets,7
Dubai,20-10-2020,S Dhawan,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,Kings XI Punjab,wickets,5
Abu Dhabi,21-10-2020,Mohammed Siraj,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Royal Challengers Bangalore,wickets,8
Dubai,22-10-2020,MK Pandey,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,8
Sharjah,23-10-2020,TA Boult,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,10
Abu Dhabi,24-10-2020,CV Varun,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Kolkata Knight Riders,runs,59
Dubai,24-10-2020,CJ Jordan,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kings XI Punjab,runs,12
Abu Dhabi,25-10-2020,BA Stokes,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,wickets,8
Dubai,25-10-2020,RD Gaikwad,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,wickets,8
Sharjah,26-10-2020,CH Gayle,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,8
Dubai,27-10-2020,WP Saha,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,runs,88
Abu Dhabi,28-10-2020,SA Yadav,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,5
Dubai,29-10-2020,RD Gaikwad,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,6
Abu Dhabi,30-10-2020,BA Stokes,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7
Dubai,31-10-2020,Ishan Kishan,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,9
Sharjah,31-10-2020,Sandeep Sharma,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,5
Abu Dhabi,01-11-2020,RD Gaikwad,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,9
Dubai,01-11-2020,PJ Cummins,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,runs,60
Abu Dhabi,02-11-2020,A Nortje,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,6
Sharjah,03-11-2020,S Nadeem,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,10
Dubai,05-11-2020,JJ Bumrah,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,runs,57
Abu Dhabi,06-11-2020,KS Williamson,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,6
Abu Dhabi,08-11-2020,MP Stoinis,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,runs,17
Dubai,10-11-2020,TA Boult,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,wickets,5
